# E(keV) bin 1    bin 2    bin 3    bin 4    bin 5    bin 6    bin 7    bin 8    bin 9
4.20e+01 1.42e-01 1.25e-02 2.13e-04 6.46e-13 1.98e-29 1.12e-44 1.55e-01 2.13e-04 1.39e-16
4.30e+01 1.59e-01 1.68e-02 3.50e-04 1.89e-12 1.24e-28 1.82e-43 1.76e-01 3.50e-04 4.95e-16
4.40e+01 1.75e-01 2.23e-02 5.60e-04 5.37e-12 7.39e-28 1.94e-42 1.98e-01 5.60e-04 1.70e-15
4.50e+01 1.90e-01 2.89e-02 8.77e-04 1.47e-11 4.21e-27 1.89e-41 2.19e-01 8.77e-04 5.60e-15
4.60e+01 2.03e-01 3.69e-02 1.34e-03 3.92e-11 2.30e-26 1.74e-40 2.40e-01 1.34e-03 1.78e-14
4.70e+01 2.14e-01 4.61e-02 2.02e-03 1.01e-10 1.20e-25 1.53e-39 2.60e-01 2.02e-03 5.50e-14
4.80e+01 2.23e-01 5.68e-02 2.96e-03 2.53e-10 6.02e-25 1.28e-38 2.79e-01 2.96e-03 1.64e-13
4.90e+01 2.28e-01 6.87e-02 4.27e-03 6.14e-10 2.90e-24 1.02e-37 2.97e-01 4.27e-03 4.74e-13
5.00e+01 2.31e-01 8.07e-02 5.88e-03 1.36e-09 1.20e-23 6.62e-37 3.11e-01 5.88e-03 1.23e-12
5.10e+01 2.31e-01 9.35e-02 7.97e-03 2.94e-09 4.78e-23 4.14e-36 3.24e-01 7.97e-03 3.10e-12
5.20e+01 2.28e-01 1.07e-01 1.06e-02 6.19e-09 1.85e-22 2.48e-35 3.35e-01 1.06e-02 7.61e-12
5.30e+01 2.23e-01 1.21e-01 1.40e-02 1.28e-08 6.89e-22 1.43e-34 3.44e-01 1.40e-02 1.82e-11
5.40e+01 2.16e-01 1.34e-01 1.81e-02 2.57e-08 2.49e-21 7.97e-34 3.51e-01 1.81e-02 4.25e-11
5.50e+01 2.07e-01 1.48e-01 2.31e-02 5.06e-08 8.76e-21 4.27e-33 3.55e-01 2.31e-02 9.70e-11
5.60e+01 1.97e-01 1.61e-01 2.91e-02 9.77e-08 2.98e-20 2.21e-32 3.58e-01 2.91e-02 2.16e-10
5.70e+01 1.85e-01 1.73e-01 3.61e-02 1.85e-07 9.89e-20 1.11e-31 3.58e-01 3.61e-02 4.71e-10
5.80e+01 1.72e-01 1.84e-01 4.43e-02 3.42e-07 3.19e-19 5.34e-31 3.56e-01 4.43e-02 1.00e-09
5.90e+01 1.59e-01 1.93e-01 5.37e-02 6.22e-07 9.99e-19 2.50e-30 3.52e-01 5.37e-02 2.09e-09
6.00e+01 1.47e-01 2.00e-01 6.34e-02 1.06e-06 2.79e-18 1.00e-29 3.47e-01 6.34e-02 4.03e-09
6.10e+01 1.34e-01 2.06e-01 7.41e-02 1.77e-06 7.60e-18 3.91e-29 3.40e-01 7.41e-02 7.63e-09
6.20e+01 1.22e-01 2.10e-01 8.57e-02 2.92e-06 2.03e-17 1.48e-28 3.31e-01 8.58e-02 1.42e-08
6.30e+01 1.10e-01 2.12e-01 9.84e-02 4.73e-06 5.28e-17 5.47e-28 3.21e-01 9.84e-02 2.59e-08
6.40e+01 9.81e-02 2.12e-01 1.12e-01 7.55e-06 1.34e-16 1.97e-27 3.10e-01 1.12e-01 4.65e-08
6.50e+01 8.72e-02 2.11e-01 1.26e-01 1.19e-05 3.36e-16 6.89e-27 2.98e-01 1.26e-01 8.22e-08
6.60e+01 7.70e-02 2.08e-01 1.41e-01 1.84e-05 8.20e-16 2.35e-26 2.85e-01 1.41e-01 1.43e-07
6.70e+01 6.75e-02 2.03e-01 1.57e-01 2.82e-05 1.97e-15 7.85e-26 2.71e-01 1.57e-01 2.45e-07
6.80e+01 5.88e-02 1.97e-01 1.72e-01 4.25e-05 4.62e-15 2.56e-25 2.56e-01 1.72e-01 4.13e-07
6.90e+01 5.09e-02 1.90e-01 1.89e-01 6.33e-05 1.07e-14 8.14e-25 2.41e-01 1.89e-01 6.86e-07
7.00e+01 4.41e-02 1.82e-01 2.04e-01 9.16e-05 2.33e-14 2.41e-24 2.26e-01 2.04e-01 1.10e-06
7.10e+01 3.80e-02 1.73e-01 2.20e-01 1.31e-04 5.01e-14 7.01e-24 2.11e-01 2.20e-01 1.74e-06
7.20e+01 3.25e-02 1.64e-01 2.35e-01 1.85e-04 1.06e-13 1.99e-23 1.96e-01 2.36e-01 2.72e-06
7.30e+01 2.77e-02 1.54e-01 2.51e-01 2.58e-04 2.20e-13 5.56e-23 1.82e-01 2.51e-01 4.20e-06
7.40e+01 2.35e-02 1.44e-01 2.65e-01 3.57e-04 4.50e-13 1.52e-22 1.67e-01 2.66e-01 6.40e-06
7.50e+01 1.98e-02 1.34e-01 2.80e-01 4.88e-04 9.06e-13 4.08e-22 1.53e-01 2.80e-01 9.63e-06
7.60e+01 1.66e-02 1.23e-01 2.93e-01 6.60e-04 1.80e-12 1.07e-21 1.40e-01 2.94e-01 1.43e-05
7.70e+01 1.39e-02 1.13e-01 3.06e-01 8.84e-04 3.51e-12 2.78e-21 1.27e-01 3.07e-01 2.11e-05
7.80e+01 1.15e-02 1.03e-01 3.19e-01 1.17e-03 6.76e-12 7.05e-21 1.15e-01 3.20e-01 3.07e-05
7.90e+01 9.55e-03 9.40e-02 3.30e-01 1.54e-03 1.28e-11 1.76e-20 1.04e-01 3.32e-01 4.42e-05
